"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p25"
24005451702,"Middle River, MD",0.4017
24510260401,"Armistead Gardens, Baltimore, MD",0.3969
24510260700,"Fifteenth Street, Baltimore, MD",0.3893
24005450100,"Rosedale, MD",0.3619
24510210100,"Pigtown, Baltimore, MD",0.3424
24005452100,"Sparrows Point, MD",0.3415
24510130700,"Hampden, Baltimore, MD",0.3306
24005430800,"Halethorpe, MD",0.3289
24510130804,"Hampden, Baltimore, MD",0.3283
24510130803,"Medfield, Baltimore, MD",0.3245
24003750101,"Brooklyn Park, MD",0.3169
24005452300,"Baltimore, MD",0.3167
24510250206,"Morrell Park, Baltimore, MD",0.3141
24005421300,"Dundalk, MD",0.3141
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.3096
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.3094
24005400600,"Catonsville, MD",0.308
24510250303,"Morrell Park, Baltimore, MD",0.3073
24005430700,"Halethorpe, MD",0.3072
24005452000,"Sparrows Point, MD",0.3052
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.3024
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.3022
24005452500,"Dundalk, MD",0.3016
24510250102,"Yale Heights, Baltimore, MD",0.3011
24510160300,"Sandtown-Winchester, Baltimore, MD",0.2998
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.2989
24510150702,"Walbrook, Baltimore, MD",0.2982
24510080302,"Berea, Baltimore, MD",0.2981
24510200100,"Lexington, Baltimore, MD",0.298
24510080700,"Broadway East, Baltimore, MD",0.2976
24510271700,"Central Park Heights, Baltimore, MD",0.2972
24510280402,"Rognel Heights, Baltimore, MD",0.2962
24005403202,"Gwynn Oak, Baltimore, MD",0.2953
24005440100,"Baltimore, MD",0.2944
24003750201,"Brooklyn, Baltimore, MD",0.2937
24510271900,"Glen, Baltimore, MD",0.2924
24510280401,"Baltimore, MD",0.2918
24005411302,"White Marsh, MD",0.2899
24510150100,"Sandtown-Winchester, Baltimore, MD",0.2897
24510250500,"Curtis Bay, Baltimore, MD",0.282
24005421000,"Dundalk, MD",0.282
24510020100,"Upper Fells Point, Baltimore, MD",0.2798
24005402405,"Gwynn Oak, Baltimore, MD",0.2791
24510100100,"Johnson Square, Baltimore, MD",0.2791
24005420100,"Dundalk, MD",0.2781
24005401302,"Gwynn Oak, Baltimore, MD",0.2777
24005450501,"Essex, MD",0.2768
24005403201,"Gwynn Oak, Lochearn, MD",0.2767
24005420402,"Dundalk, MD",0.2765
24005450400,"Essex, MD",0.2761
24510080101,"Belair - Edison, Baltimore, MD",0.2754
24510151300,"Central Park Heights, Baltimore, MD",0.2753
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.2746
24005402403,"Gwynn Oak, Baltimore, MD",0.2729
24510150400,"Mondawmin, Baltimore, MD",0.2719
24510260102,"Frankford, Baltimore, MD",0.2719
24005430400,"Halethorpe, MD",0.2717
24510271600,"Edgecomb, Baltimore, MD",0.2716
24005420600,"Baltimore, MD",0.2715
24003751102,"Glen Burnie, MD",0.2704
24005420200,"Dundalk, MD",0.2679
24510200500,"Mill Hill, Baltimore, MD",0.2674
24005401101,"Woodlawn, MD",0.2669
24005451100,"Essex, MD",0.2659
24003750203,"Baltimore, MD",0.2657
24005440702,"Rosedale, MD",0.2648
24005420800,"Dundalk, MD",0.2634
24510150500,"Burleith-Leighton, Baltimore, MD",0.2632
24005450900,"Essex, MD",0.2621
24510010300,"Canton, Baltimore, MD",0.2621
24005440600,"Rosedale, MD",0.2621
24005451000,"Essex, MD",0.2611
24510271802,"Langston Hughes, Baltimore, MD",0.2611
24510140200,"Upton, Baltimore, MD",0.2605
24005430600,"Relay, Halethorpe, MD",0.2602
24005420401,"Dundalk, MD",0.2602
24510272003,"Baltimore, MD",0.2598
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.2576
24510130600,"Hampden, Baltimore, MD",0.2576
24005441102,"Rosedale, MD",0.2575
24510270301,"Lauraville, Baltimore, MD",0.2574
24510090400,"Better Waverly, Baltimore, MD",0.2573
24510070100,"Baltimore, MD",0.2573
24510240200,"Riverside, Baltimore, MD",0.2573
24003750102,"Baltimore, MD",0.2568
24510260301,"Belair - Edison, Baltimore, MD",0.2565
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2562
24510151100,"East Arlington, Baltimore, MD",0.2549
24005451300,"Middle River, MD",0.2547
24510160700,"Rosemont, Baltimore, MD",0.2529
24510220100,"Baltimore, MD",0.2529
24005450300,"Essex, MD",0.2524
24005401301,"Woodlawn, MD",0.2516
24510160802,"Edmondson, Baltimore, MD",0.2516
24510120700,"Remington, Baltimore, MD",0.2516
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2515
24005421101,"Baltimore, MD",0.2514
24005420500,"Baltimore, MD",0.2509
24510130400,"Woodbrook, Baltimore, MD",0.2506
24005401200,"Woodlawn, MD",0.2506
24510200200,"Lexington, Baltimore, MD",0.2505
24005403500,"Pikesville, MD",0.2497
