"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p50"
24005451702,"Middle River, MD",0.3827
24510260401,"Armistead Gardens, Baltimore, MD",0.3812
24005450100,"Rosedale, MD",0.3519
24510260700,"Fifteenth Street, Baltimore, MD",0.3449
24005452100,"Sparrows Point, MD",0.3326
24005430800,"Halethorpe, MD",0.323
24510130700,"Hampden, Baltimore, MD",0.3186
24510130804,"Hampden, Baltimore, MD",0.3152
24003750101,"Brooklyn Park, MD",0.312
24005452300,"Baltimore, MD",0.3095
24005452000,"Sparrows Point, MD",0.3087
24510210100,"Pigtown, Baltimore, MD",0.307
24510250206,"Morrell Park, Baltimore, MD",0.3048
24510130803,"Medfield, Baltimore, MD",0.3027
24005421300,"Dundalk, MD",0.3021
24005430700,"Halethorpe, MD",0.3017
24005400600,"Catonsville, MD",0.2988
24005452500,"Dundalk, MD",0.2983
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.2975
24003750201,"Brooklyn, Baltimore, MD",0.2955
24510250303,"Morrell Park, Baltimore, MD",0.295
24005430104,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.2922
24005403202,"Gwynn Oak, Baltimore, MD",0.2912
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",0.2908
24510271700,"Central Park Heights, Baltimore, MD",0.2904
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.2904
24510150702,"Walbrook, Baltimore, MD",0.2899
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",0.2886
24005411302,"White Marsh, MD",0.2875
24510271900,"Glen, Baltimore, MD",0.2865
24510280402,"Rognel Heights, Baltimore, MD",0.2845
24003750203,"Baltimore, MD",0.2843
24005450400,"Essex, MD",0.2811
24005402405,"Gwynn Oak, Baltimore, MD",0.2799
24005440100,"Baltimore, MD",0.2796
24005402403,"Gwynn Oak, Baltimore, MD",0.278
24510080700,"Broadway East, Baltimore, MD",0.2776
24510280401,"Baltimore, MD",0.2771
24510160300,"Sandtown-Winchester, Baltimore, MD",0.2768
24510250102,"Yale Heights, Baltimore, MD",0.2762
24510080302,"Berea, Baltimore, MD",0.2756
24005403201,"Gwynn Oak, Lochearn, MD",0.2755
24005430400,"Halethorpe, MD",0.2741
24510250500,"Curtis Bay, Baltimore, MD",0.274
24005450501,"Essex, MD",0.2731
24510150100,"Sandtown-Winchester, Baltimore, MD",0.2727
24005430200,"Lansdowne - Baltimore Highlands, Lansdowne, MD",0.2725
24005420402,"Dundalk, MD",0.2714
24005401302,"Gwynn Oak, Baltimore, MD",0.2712
24003751102,"Glen Burnie, MD",0.2704
24510200100,"Lexington, Baltimore, MD",0.2699
24510080101,"Belair - Edison, Baltimore, MD",0.2688
24510260102,"Frankford, Baltimore, MD",0.2686
24005420100,"Dundalk, MD",0.2662
24005420600,"Baltimore, MD",0.2662
24510100100,"Johnson Square, Baltimore, MD",0.2659
24005420800,"Dundalk, MD",0.2658
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.2658
24510020100,"Upper Fells Point, Baltimore, MD",0.2658
24005401101,"Woodlawn, MD",0.2654
24510151300,"Central Park Heights, Baltimore, MD",0.2642
24005440702,"Rosedale, MD",0.2641
24005420401,"Dundalk, MD",0.2638
24510150400,"Mondawmin, Baltimore, MD",0.2637
24005421000,"Dundalk, MD",0.2635
24005450900,"Essex, MD",0.2601
24510250203,"Cherry Hill, Baltimore, MD",0.2601
24510271600,"Edgecomb, Baltimore, MD",0.26
24005420200,"Dundalk, MD",0.2598
24005451000,"Essex, MD",0.2596
24005430600,"Relay, Halethorpe, MD",0.2583
24005451100,"Essex, MD",0.2568
24003750102,"Baltimore, MD",0.2566
24510160802,"Edmondson, Baltimore, MD",0.2564
24510200500,"Mill Hill, Baltimore, MD",0.256
24005441102,"Rosedale, MD",0.2559
24510151100,"East Arlington, Baltimore, MD",0.2557
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",0.255
24510272003,"Baltimore, MD",0.2548
24510010300,"Canton, Baltimore, MD",0.2545
24005440600,"Rosedale, MD",0.2528
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.2528
24510270301,"Lauraville, Baltimore, MD",0.2528
24510130600,"Hampden, Baltimore, MD",0.2525
24005401301,"Woodlawn, MD",0.2524
24510150500,"Burleith-Leighton, Baltimore, MD",0.252
24510260301,"Belair - Edison, Baltimore, MD",0.2519
24510030100,"Perkins Homes, Baltimore, MD",0.2514
24510240200,"Riverside, Baltimore, MD",0.2512
24005451300,"Middle River, MD",0.251
24005401200,"Woodlawn, MD",0.2508
24005402304,"Gwynn Oak, Baltimore, MD",0.2498
24005421101,"Baltimore, MD",0.2495
24003750202,"Brooklyn Park, MD",0.2491
24005441101,"Rosedale, MD",0.249
24510250301,"Westport, Baltimore, MD",0.2486
24005492300,"Essex, MD",0.2485
24510140200,"Upton, Baltimore, MD",0.2485
24003751200,"Linthicum Heights, MD",0.2481
24005450300,"Essex, MD",0.2476
24005451500,"Middle River, MD",0.247
24510070100,"Baltimore, MD",0.2465
24005403500,"Pikesville, MD",0.2463
24510220100,"Baltimore, MD",0.246
24510240100,"Locust Point, Baltimore, MD",0.2446
24510271802,"Langston Hughes, Baltimore, MD",0.2444
24005403100,"Gwynn Oak, Pikesville, MD",0.2438
24005420500,"Baltimore, MD",0.2438
