"tract","Name","Household_Income_rP_gP_pall"
6071008500,"South Redlands, Redlands, CA",60652
6071008302,"Live Oak Canyon, Redlands, CA",57339
6071008403,"South Redlands, Redlands, CA",56634
6071007302,"Loma Linda, CA",55473
6071008301,"South Redlands, Redlands, CA",54419
6071008706,"Yucaipa, CA",51381
6065043823,"Beaumont, CA",49776
6065043822,"Beaumont, CA",48617
6071008402,"North Redlands, Redlands, CA",48427
6065042412,"Moreno Valley, CA",48248
6071008200,"South Redlands, Redlands, CA",47557
6071007904,"Highland, CA",45177
6071008401,"North Redlands, Redlands, CA",45050
6071011101,"Big Bear, CA",44462
6071008704,"Yucaipa, CA",43723
6071011500,"Forest Falls, CA",43136
6071008602,"Crafton, Mentone, CA",43093
6065043802,"Calimesa, CA",43001
6071007800,"West Redlands, Redlands, CA",42445
6071008601,"Mentone, CA",42273
6071008705,"Yucaipa, CA",40019
6071007305,"North Central, Loma Linda, CA",38312
6071007306,"Loma Linda, CA",38061
6071008001,"North Redlands, Redlands, CA",37682
6071007604,"Crossroads, Highland, CA",35511
6071008404,"North Redlands, Redlands, CA",33960
6071008100,"West Redlands, Redlands, CA",33779
6071007200,"Riverview, San Bernardino, CA",33762
6071008002,"North Redlands, Redlands, CA",30724
6071006500,"San Bernardino International Airport, San Bernardino, CA",29808
6071980100,"San Bernardino International Airport, San Bernardino, CA",
