"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p75"
6071008002,"North Redlands, Redlands, CA",0.2747
6071007200,"Riverview, San Bernardino, CA",0.2626
6071007306,"Loma Linda, CA",0.2417
6071008001,"North Redlands, Redlands, CA",0.227
6071007904,"Highland, CA",0.2204
6071007302,"Loma Linda, CA",0.2188
6071008100,"West Redlands, Redlands, CA",0.207
6071008401,"North Redlands, Redlands, CA",0.2059
6071008601,"Mentone, CA",0.1909
6071008704,"Yucaipa, CA",0.1903
6071008200,"South Redlands, Redlands, CA",0.1837
6071008500,"South Redlands, Redlands, CA",0.1829
6071008402,"North Redlands, Redlands, CA",0.1796
6071008403,"South Redlands, Redlands, CA",0.1771
6065043802,"Calimesa, CA",0.1753
6071007305,"North Central, Loma Linda, CA",0.1744
6071007800,"West Redlands, Redlands, CA",0.1706
6071007604,"Crossroads, Highland, CA",0.1702
6065042412,"Moreno Valley, CA",0.1661
6065043822,"Beaumont, CA",0.1572
6071011500,"Forest Falls, CA",0.1559
6071008302,"Live Oak Canyon, Redlands, CA",0.1535
6071008705,"Yucaipa, CA",0.1491
6071008404,"North Redlands, Redlands, CA",0.1447
6071008706,"Yucaipa, CA",0.1387
6071008301,"South Redlands, Redlands, CA",0.1362
6071008602,"Crafton, Mentone, CA",0.1293
6065043823,"Beaumont, CA",0.1287
6071980100,"San Bernardino International Airport, San Bernardino, CA",
