"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_pall"
6071008002,"North Redlands, Redlands, CA",0.2731
6071008001,"North Redlands, Redlands, CA",0.2589
6071007200,"Riverview, San Bernardino, CA",0.2377
6071007302,"Loma Linda, CA",0.2207
6071007904,"Highland, CA",0.2182
6071008601,"Mentone, CA",0.2061
6071008401,"North Redlands, Redlands, CA",0.2009
6071008704,"Yucaipa, CA",0.1945
6071007306,"Loma Linda, CA",0.192
6071008200,"South Redlands, Redlands, CA",0.183
6071008403,"South Redlands, Redlands, CA",0.1825
6071008402,"North Redlands, Redlands, CA",0.1818
6065043822,"Beaumont, CA",0.1801
6065043802,"Calimesa, CA",0.1775
6071008500,"South Redlands, Redlands, CA",0.1733
6071008705,"Yucaipa, CA",0.1732
6071007604,"Crossroads, Highland, CA",0.1719
6071007305,"North Central, Loma Linda, CA",0.1686
6071008404,"North Redlands, Redlands, CA",0.1674
6071011500,"Forest Falls, CA",0.1631
6065042412,"Moreno Valley, CA",0.1612
6071008100,"West Redlands, Redlands, CA",0.16
6071008302,"Live Oak Canyon, Redlands, CA",0.1561
6065043823,"Beaumont, CA",0.1547
6071008602,"Crafton, Mentone, CA",0.1438
6071007800,"West Redlands, Redlands, CA",0.1412
6071008706,"Yucaipa, CA",0.1386
6071008301,"South Redlands, Redlands, CA",0.1345
6071980100,"San Bernardino International Airport, San Bernardino, CA",
