"tract","Name","%_Staying_in_Same_Tract_as_Adults_rP_gP_p25"
6071008001,"North Redlands, Redlands, CA",0.2957
6071008002,"North Redlands, Redlands, CA",0.2704
6071007904,"Highland, CA",0.2459
6071008601,"Mentone, CA",0.2313
6071007200,"Riverview, San Bernardino, CA",0.2203
6071007302,"Loma Linda, CA",0.2157
6065043823,"Beaumont, CA",0.2151
6065043822,"Beaumont, CA",0.2107
6071008705,"Yucaipa, CA",0.2098
6071008704,"Yucaipa, CA",0.2068
6065042412,"Moreno Valley, CA",0.2038
6071008500,"South Redlands, Redlands, CA",0.1924
6071008402,"North Redlands, Redlands, CA",0.1905
6071008404,"North Redlands, Redlands, CA",0.1863
6071008401,"North Redlands, Redlands, CA",0.1843
6071008200,"South Redlands, Redlands, CA",0.1774
6071011500,"Forest Falls, CA",0.1772
6065043802,"Calimesa, CA",0.1762
6071007604,"Crossroads, Highland, CA",0.1735
6071007305,"North Central, Loma Linda, CA",0.1696
6071008602,"Crafton, Mentone, CA",0.1691
6071008706,"Yucaipa, CA",0.1682
6071008302,"Live Oak Canyon, Redlands, CA",0.1555
6071008301,"South Redlands, Redlands, CA",0.1537
6071008403,"South Redlands, Redlands, CA",0.1532
6071007306,"Loma Linda, CA",0.1483
6071008100,"West Redlands, Redlands, CA",0.1259
6071007800,"West Redlands, Redlands, CA",0.1069
6071980100,"San Bernardino International Airport, San Bernardino, CA",
